# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Thu Jan  9 21:25:33 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.11, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 7.41497 0.0900000036 1.0816895926    0.090 -2.346  3.4027  4.301    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.634 12.735 15.428 11.266
0.0152 0.01508 7.41497 0.0907149389 1.0885031923    0.091 -2.341  3.4033  4.302    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.622 12.723 15.416 11.254
0.0152 0.01508 7.41497 0.1000000015 1.1711064122    0.100 -2.275  3.4105  4.307    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.458 12.559 15.254 11.090
0.0152 0.01508 7.41497 0.1033122018 1.1981933735    0.103 -2.254  3.4128  4.309    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.405 12.507 15.203 11.038
0.0152 0.01508 7.41497 0.1200000122 1.3193155232    0.120 -2.154  3.4237  4.317    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.154 12.167 14.755 10.717
0.0152 0.01508 7.41497 0.1348040253 1.4097307714    0.135 -2.075  3.4323  4.324    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.01e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.959 11.851 14.296 10.429
0.0152 0.01508 7.41497 0.1400000006 1.4384526719    0.140 -2.050  3.4351  4.326    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.895 11.751 14.155 10.337
0.0152 0.01508 7.41497 0.1680377126 1.5725919975    0.168 -1.930  3.4486  4.340    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.47e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.595 11.283 13.496 9.909
0.0152 0.01508 7.41497 0.1922957897 1.6670681017    0.192 -1.841  3.4581  4.348    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.8e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.373 10.946 13.020 9.601
0.0152 0.01508 7.41497 0.2009708434 1.6971623155    0.201 -1.813  3.4612  4.351    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.91e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.303 10.840 12.871 9.505
0.0152 0.01508 7.41497 0.2198971659 1.7573230799    0.220 -1.756  3.4673  4.357    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.13e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.159 10.631 12.587 9.314
0.0152 0.01508 7.41497 0.2229356766 1.7663545388    0.223 -1.747  3.4682  4.358    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.17e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.138 10.600 12.544 9.285
0.0152 0.01508 7.41497 0.2344673276 1.7992275206    0.234 -1.713  3.4716  4.360    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.054 10.480 12.382 9.175
0.0152 0.01508 7.41497 0.2506217360 1.8419013872    0.251 -1.671  3.4762  4.365    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.57e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.947 10.326 12.173 9.035
0.0152 0.01508 7.41497 0.2775405049 1.9056130914    0.277 -1.605  3.4831  4.371    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.783 10.091 11.854 8.822
0.0152 0.01508 7.41497 0.3000000119 1.9529139769    0.300 -1.555  3.4886  4.376    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.19e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.658 9.910 11.606 8.659
0.0152 0.01508 7.41497 0.3354888260 2.0189720385    0.335 -1.485  3.4958  4.384    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.62e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.483 9.673 11.298 8.443
0.0152 0.01508 7.41497 0.3500000238 2.0434175133    0.350 -1.459  3.4986  4.388    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.78e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.418 9.585 11.184 8.362
0.0152 0.01508 7.41497 0.3576454818 2.0557732036    0.358 -1.446  3.5000  4.389    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.87e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.384 9.540 11.125 8.321
0.0152 0.01508 7.41497 0.4000000358 2.1185024810    0.400 -1.374  3.5074  4.396    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.39e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.206 9.305 10.828 8.105
0.0152 0.01508 7.41497 0.4439147711 2.1750231864    0.444 -1.306  3.5150  4.403    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.93e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.035 9.078 10.538 7.898
0.0152 0.01508 7.41497 0.4500000477 2.1822809714    0.450 -1.297  3.5160  4.404    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.01e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.012 9.048 10.501 7.871
0.0152 0.01508 7.41497 0.4749940932 2.2108051186    0.475 -1.261  3.5204  4.409    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.32e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.922 8.927 10.344 7.762
0.0152 0.01508 7.41497 0.5000000000 2.2374541529    0.500 -1.226  3.5244  4.413    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.65e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.835 8.811 10.198 7.658
0.0152 0.01508 7.41497 0.5136751533 2.2511208528    0.514 -1.208  3.5269  4.416    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.82e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.789 8.748 10.115 7.601
0.0152 0.01508 7.41497 0.5430843234 2.2778485771    0.543 -1.166  3.5318  4.417    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.29e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.684 8.610 9.941 7.476
0.0152 0.01508 7.41497 0.5500000119 2.2836582633    0.550 -1.156  3.5329  4.418    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.41e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.659 8.578 9.902 7.448
0.0152 0.01508 7.41497 0.5619938970 2.2933452112    0.562 -1.140  3.5351  4.420    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.58e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.620 8.524 9.832 7.400
0.0152 0.01508 7.41497 0.6000000238 2.3211213258    0.600 -1.084  3.5421  4.420    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.33e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.480 8.340 9.598 7.234
0.0152 0.01508 7.41497 0.6392468810 2.3458551833    0.639 -1.025  3.5510  4.424    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.22e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.332 8.134 9.332 7.054
0.0152 0.01508 7.41497 0.6499999762 2.3520353107    0.650 -1.008  3.5535  4.425    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.5e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.289 8.076 9.256 7.003
0.0152 0.01508 7.41497 0.7000000477 2.3779267258    0.700 -0.915  3.5689  4.425    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.057 7.744 8.823 6.717
0.0152 0.01508 7.41497 0.7500000000 2.3998889087    0.750 -0.733  3.6321  4.527    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.47e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 6.603 6.948 7.704 6.100
0.0152 0.01508 7.41497 0.7516229153 2.4005456664    0.752 -0.731  3.6324  4.526    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 6.596 6.939 7.694 6.093
0.0152 0.01508 7.41497 0.7910739183 2.4155622385    0.791 -0.648  3.6430  4.508    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.390 6.680 7.385 5.866
0.0152 0.01508 7.41497 0.8000000119 2.4187244405    0.800 -0.627  3.6459  4.504    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.338 6.614 7.306 5.809
0.0152 0.01508 7.41497 0.8190853596 2.4252205705    0.819 -0.582  3.6528  4.497    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.226 6.469 7.131 5.683
0.0152 0.01508 7.41497 0.8500000238 2.4350346840    0.850 -0.501  3.6660  4.484    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.46e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 6.022 6.207 6.818 5.458
0.0152 0.01508 7.41497 0.8755068183 2.4425347706    0.875 -0.428  3.6785  4.474    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -2.9e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 5.839 5.976 6.543 5.260
0.0152 0.01508 7.41497 0.9000000358 2.4492786175    0.899 -0.353  3.6916  4.464    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.43e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 5.654 5.749 6.276 5.066
0.0152 0.01508 7.41497 0.9199665189 2.4544716445    0.919 -0.291  3.7025  4.455    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.96e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 5.498 5.563 6.060 4.906
0.0152 0.01508 7.41497 0.9444372058 2.4604930464    0.944 -0.213  3.7163  4.443    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.74e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 5.301 5.336 5.796 4.710
0.0152 0.01508 7.41497 0.9500000477 2.4618122009    0.950 -0.194  3.7195  4.440    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.95e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 5.256 5.284 5.736 4.665
